Designator,Footprint,Quantity,Value,LCSC Part #
C2,1206,1,100nf,
C3,CP_EIA-7343-20_Kemet-V_HandSolder,1,47uf,
"D1, D2",DIODE_DO-214AC-L,2,SMBJ30CA,
IND1,DR331,1,DR331-513AE,
J1,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,5v In.,
J2,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,Screw_Terminal_01x03,
J3,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Display Pwr,
"J4, J6",JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,2,i2c,
J5,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,TX1-RX1,
J7,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,One_Wire,
R1,1206,1,120R,
"R2, R3, R6",1206,3,10k,
"R4, R5",1206,2,4k7,
U1,MODULE_ESP32-C3_SUPERMINI,1,ESP32-C3_SUPERMINI_TH,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
