Designator,Mid X,Mid Y,Rotation,Layer
C2,131.0,-95.0,180.0,top
C3,131.5,-74.05,270.0,top
D1,131.4,-81.7,180.0,top
D2,126.3,-81.7,90.0,top
IND1,138.5,-86.3,270.0,top
J1,124.0,-72.75,0.0,top
J2,136.5,-104.0,0.0,top
J3,103.5,-72.75,0.0,top
J4,112.95,-105.1,0.0,top
J5,125.05,-105.7,180.0,top
J6,101.21,-84.08,90.0,top
J7,101.25,-95.75,90.0,top
R1,138.4,-98.6,180.0,top
R2,114.33,-85.62,180.0,top
R3,114.33,-89.5,180.0,top
R4,114.42,-93.8,0.0,top
R5,114.45,-97.75,180.0,top
R6,131.8,-84.8,180.0,top
U1,114.68,-88.3,0.0,top
U3,131.145,-89.985,270.0,top
